payload_id,agent_id,received_at,envelope_created_at,payload_collected_at,hostname,username,crypto_scheme,key_id,nonce_hash,ciphertext_hash,decrypted_payload_hash,encrypted_envelope_json,validation_status,duplicate_attempt_count
pld-0d30ffe0-ddbd-404a-98ce-131985e50237,agt-1002,2026-05-18 23:59:00+00,2026-05-18 23:59:00+00,2026-05-18 23:59:00+00,LT-ASMITH,asmith,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-568f5797-8ab9-4c4e-989a-7d4a1a18dd76,agt-1003,2026-05-18 23:59:00+00,2026-05-18 23:59:00+00,2026-05-18 23:59:00+00,LT-MJONES,mjones,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-2d434f4f-15f0-462f-b8c5-80b5bdeee058,agt-1004,2026-05-18 23:59:00+00,2026-05-18 23:59:00+00,2026-05-18 23:59:00+00,LT-BWILLIAMS,bwilliams,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-09601939-4fd1-4d53-af8a-3e5649dd6ecd,agt-1005,2026-05-18 23:59:00+00,2026-05-18 23:59:00+00,2026-05-18 23:59:00+00,LT-CDAVIS,cdavis,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-031c8d47-e82a-4e99-9ce2-65e463b60857,agt-1006,2026-05-18 23:59:00+00,2026-05-18 23:59:00+00,2026-05-18 23:59:00+00,LT-MSCOTT,mscott,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-060e3cbb-860e-44fc-b46f-b0b01985654c,agt-1007,2026-05-18 23:59:00+00,2026-05-18 23:59:00+00,2026-05-18 23:59:00+00,LT-TJONES,tjones,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-d15ac5b5-b673-4d24-ba72-541b4f192cba,agt-1008,2026-05-18 23:59:00+00,2026-05-18 23:59:00+00,2026-05-18 23:59:00+00,LT-RWILSON,rwilson,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-b941814b-9e38-4aa1-949b-32dbce5a6b2a,agt-1009,2026-05-18 23:59:00+00,2026-05-18 23:59:00+00,2026-05-18 23:59:00+00,LT-ESNOW,esnow,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-8a4a6b48-d5b8-42a7-9a8c-a577bc349e47,agt-1010,2026-05-18 23:59:00+00,2026-05-18 23:59:00+00,2026-05-18 23:59:00+00,LT-BADMIN,badmin,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-69862543-de95-4af8-ac86-8826254c2478,agt-1001,2026-05-19 23:59:00+00,2026-05-19 23:59:00+00,2026-05-19 23:59:00+00,LT-JDOE,jdoe,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-7196e6bb-3ae7-45c0-949b-3681bb5884aa,agt-1002,2026-05-19 23:59:00+00,2026-05-19 23:59:00+00,2026-05-19 23:59:00+00,LT-ASMITH,asmith,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-7443dd8d-ae76-4838-8c58-1ee0dbfe29c3,agt-1003,2026-05-19 23:59:00+00,2026-05-19 23:59:00+00,2026-05-19 23:59:00+00,LT-MJONES,mjones,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-03cdee88-52e3-478f-a340-b2b5719f6ef9,agt-1004,2026-05-19 23:59:00+00,2026-05-19 23:59:00+00,2026-05-19 23:59:00+00,LT-BWILLIAMS,bwilliams,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-8dab57bb-6ee3-4d43-846b-1a55a109cfa1,agt-1005,2026-05-19 23:59:00+00,2026-05-19 23:59:00+00,2026-05-19 23:59:00+00,LT-CDAVIS,cdavis,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-c65b2dd0-341f-4d53-b057-f5255cdc8db4,agt-1006,2026-05-19 23:59:00+00,2026-05-19 23:59:00+00,2026-05-19 23:59:00+00,LT-MSCOTT,mscott,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-004511cf-f326-4b70-9d2f-beea66ce2003,agt-1007,2026-05-19 23:59:00+00,2026-05-19 23:59:00+00,2026-05-19 23:59:00+00,LT-TJONES,tjones,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-60ba1815-3703-4552-8b11-24162bc66ba3,agt-1008,2026-05-19 23:59:00+00,2026-05-19 23:59:00+00,2026-05-19 23:59:00+00,LT-RWILSON,rwilson,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-2df7816d-0276-42fb-ba08-70c6fc01c059,agt-1009,2026-05-19 23:59:00+00,2026-05-19 23:59:00+00,2026-05-19 23:59:00+00,LT-ESNOW,esnow,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-f7d5ff1b-6878-4b7a-88e3-c744006497a9,agt-1010,2026-05-19 23:59:00+00,2026-05-19 23:59:00+00,2026-05-19 23:59:00+00,LT-BADMIN,badmin,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-55778c9e-9101-4d51-ad61-fdc8b0e6271d,agt-1001,2026-05-20 23:59:00+00,2026-05-20 23:59:00+00,2026-05-20 23:59:00+00,LT-JDOE,jdoe,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-02e70277-6cb4-4b32-88b8-02e447eaa7d3,agt-1002,2026-05-20 23:59:00+00,2026-05-20 23:59:00+00,2026-05-20 23:59:00+00,LT-ASMITH,asmith,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-56cde917-b153-4a80-8cdf-0964a12fbbae,agt-1003,2026-05-20 23:59:00+00,2026-05-20 23:59:00+00,2026-05-20 23:59:00+00,LT-MJONES,mjones,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-7370dc23-8e27-4718-a763-df0a78f4c5d8,agt-1004,2026-05-20 23:59:00+00,2026-05-20 23:59:00+00,2026-05-20 23:59:00+00,LT-BWILLIAMS,bwilliams,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-712da93f-f059-4e1b-8192-92159d7a83a9,agt-1005,2026-05-20 23:59:00+00,2026-05-20 23:59:00+00,2026-05-20 23:59:00+00,LT-CDAVIS,cdavis,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-fe6f8e43-be2f-49b3-8544-284d21ccaabe,agt-1006,2026-05-20 23:59:00+00,2026-05-20 23:59:00+00,2026-05-20 23:59:00+00,LT-MSCOTT,mscott,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-e4a71e6e-1df3-4c8c-b9f2-745f5ea9f7b2,agt-1007,2026-05-20 23:59:00+00,2026-05-20 23:59:00+00,2026-05-20 23:59:00+00,LT-TJONES,tjones,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-ec733b9e-c0cc-4453-b1de-1b2d5a90edc2,agt-1008,2026-05-20 23:59:00+00,2026-05-20 23:59:00+00,2026-05-20 23:59:00+00,LT-RWILSON,rwilson,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-23074a97-34b1-4f86-a542-a925e51ddc8a,agt-1009,2026-05-20 23:59:00+00,2026-05-20 23:59:00+00,2026-05-20 23:59:00+00,LT-ESNOW,esnow,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-2c83d2f9-56b0-4ebb-aed0-6a6db936768b,agt-1010,2026-05-20 23:59:00+00,2026-05-20 23:59:00+00,2026-05-20 23:59:00+00,LT-BADMIN,badmin,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-cf926ef4-5a82-4819-9304-30e896819b05,agt-1001,2026-05-21 23:59:00+00,2026-05-21 23:59:00+00,2026-05-21 23:59:00+00,LT-JDOE,jdoe,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-0843369e-3266-4e7b-9e09-88e00f819253,agt-1002,2026-05-21 23:59:00+00,2026-05-21 23:59:00+00,2026-05-21 23:59:00+00,LT-ASMITH,asmith,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-c223887c-3967-4ba1-887a-36647af82be7,agt-1003,2026-05-21 23:59:00+00,2026-05-21 23:59:00+00,2026-05-21 23:59:00+00,LT-MJONES,mjones,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-3e0d4549-078a-4827-a1a1-d9b0cf4f0cc3,agt-1004,2026-05-21 23:59:00+00,2026-05-21 23:59:00+00,2026-05-21 23:59:00+00,LT-BWILLIAMS,bwilliams,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-a5978603-7c90-4266-8a2e-370641efd432,agt-1005,2026-05-21 23:59:00+00,2026-05-21 23:59:00+00,2026-05-21 23:59:00+00,LT-CDAVIS,cdavis,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-ee2e792c-b15b-4776-b87f-14f7c00e33ef,agt-1006,2026-05-21 23:59:00+00,2026-05-21 23:59:00+00,2026-05-21 23:59:00+00,LT-MSCOTT,mscott,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-9e4bbed2-6cfd-47a4-a0e6-bc020f7587c7,agt-1007,2026-05-21 23:59:00+00,2026-05-21 23:59:00+00,2026-05-21 23:59:00+00,LT-TJONES,tjones,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-c1a5adbc-b902-45a9-bf31-1a4f24b20dea,agt-1008,2026-05-21 23:59:00+00,2026-05-21 23:59:00+00,2026-05-21 23:59:00+00,LT-RWILSON,rwilson,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-fd3b15a6-cf70-42ba-b38d-bb551f576b16,agt-1009,2026-05-21 23:59:00+00,2026-05-21 23:59:00+00,2026-05-21 23:59:00+00,LT-ESNOW,esnow,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-2804dab8-8f26-4199-8fa2-dca1ed1fc1ad,agt-1010,2026-05-21 23:59:00+00,2026-05-21 23:59:00+00,2026-05-21 23:59:00+00,LT-BADMIN,badmin,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-7dd03ef5-41d7-4a2e-833e-a2953dd86448,agt-1001,2026-05-22 23:59:00+00,2026-05-22 23:59:00+00,2026-05-22 23:59:00+00,LT-JDOE,jdoe,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-e434496e-ea9e-410f-94d0-a191ecabd7c1,agt-1002,2026-05-22 23:59:00+00,2026-05-22 23:59:00+00,2026-05-22 23:59:00+00,LT-ASMITH,asmith,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-94c7c94c-78e6-41dc-a179-604de6d3099c,agt-1003,2026-05-22 23:59:00+00,2026-05-22 23:59:00+00,2026-05-22 23:59:00+00,LT-MJONES,mjones,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-a05a11c2-75dc-4169-a660-ef3fae7eef2c,agt-1004,2026-05-22 23:59:00+00,2026-05-22 23:59:00+00,2026-05-22 23:59:00+00,LT-BWILLIAMS,bwilliams,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-2d5881b0-f65c-4303-b205-e20aa3ee85b2,agt-1005,2026-05-22 23:59:00+00,2026-05-22 23:59:00+00,2026-05-22 23:59:00+00,LT-CDAVIS,cdavis,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-0e760826-e473-465c-9009-a1178eebb6fb,agt-1006,2026-05-22 23:59:00+00,2026-05-22 23:59:00+00,2026-05-22 23:59:00+00,LT-MSCOTT,mscott,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-77d277b8-c1b5-4e01-ad2c-87b0795c4ad8,agt-1007,2026-05-22 23:59:00+00,2026-05-22 23:59:00+00,2026-05-22 23:59:00+00,LT-TJONES,tjones,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-6e5ff88f-a882-4634-bcf5-f50b034b1e27,agt-1008,2026-05-22 23:59:00+00,2026-05-22 23:59:00+00,2026-05-22 23:59:00+00,LT-RWILSON,rwilson,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-b267b0b4-a622-4086-ba99-1e635511cd2d,agt-1009,2026-05-22 23:59:00+00,2026-05-22 23:59:00+00,2026-05-22 23:59:00+00,LT-ESNOW,esnow,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-bb8e0316-4ae5-435a-9645-ad83edb2617c,agt-1010,2026-05-22 23:59:00+00,2026-05-22 23:59:00+00,2026-05-22 23:59:00+00,LT-BADMIN,badmin,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-3f4dc3d7-3280-46ec-bce4-1e085340afa3,agt-1001,2026-05-23 23:59:00+00,2026-05-23 23:59:00+00,2026-05-23 23:59:00+00,LT-JDOE,jdoe,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-d0ead6eb-361b-4937-9070-d5c76763c9ac,agt-1002,2026-05-23 23:59:00+00,2026-05-23 23:59:00+00,2026-05-23 23:59:00+00,LT-ASMITH,asmith,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-e187fcc1-eca9-47c8-b0c9-fe8c93845df6,agt-1003,2026-05-23 23:59:00+00,2026-05-23 23:59:00+00,2026-05-23 23:59:00+00,LT-MJONES,mjones,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-0b7fc4c4-38e2-45b1-903e-1986947c0de4,agt-1004,2026-05-23 23:59:00+00,2026-05-23 23:59:00+00,2026-05-23 23:59:00+00,LT-BWILLIAMS,bwilliams,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-c78b88db-ec8a-4ecf-824c-9086b0d71e6e,agt-1005,2026-05-23 23:59:00+00,2026-05-23 23:59:00+00,2026-05-23 23:59:00+00,LT-CDAVIS,cdavis,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-5d72d8b8-46a2-4188-856a-80f3dffad2bc,agt-1006,2026-05-23 23:59:00+00,2026-05-23 23:59:00+00,2026-05-23 23:59:00+00,LT-MSCOTT,mscott,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-8596830a-bf5a-401a-b6df-47cfe8b32cd9,agt-1007,2026-05-23 23:59:00+00,2026-05-23 23:59:00+00,2026-05-23 23:59:00+00,LT-TJONES,tjones,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-2f88d7c8-d0c2-46f0-b066-30794bfce1d5,agt-1008,2026-05-23 23:59:00+00,2026-05-23 23:59:00+00,2026-05-23 23:59:00+00,LT-RWILSON,rwilson,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-ecfdbcc8-b8b9-46c0-b366-241ab036eeae,agt-1009,2026-05-23 23:59:00+00,2026-05-23 23:59:00+00,2026-05-23 23:59:00+00,LT-ESNOW,esnow,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-eeaf20db-c1b0-4006-a668-dcf04b200822,agt-1010,2026-05-23 23:59:00+00,2026-05-23 23:59:00+00,2026-05-23 23:59:00+00,LT-BADMIN,badmin,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-024564aa-5edb-4c13-ac49-e2b05f32a7a1,agt-1001,2026-05-24 23:59:00+00,2026-05-24 23:59:00+00,2026-05-24 23:59:00+00,LT-JDOE,jdoe,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-7ee206b2-1e25-4e59-9c0f-19d8ad614741,agt-1002,2026-05-24 23:59:00+00,2026-05-24 23:59:00+00,2026-05-24 23:59:00+00,LT-ASMITH,asmith,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-8502b821-8ff4-4eea-9087-31c62d5f2fab,agt-1003,2026-05-24 23:59:00+00,2026-05-24 23:59:00+00,2026-05-24 23:59:00+00,LT-MJONES,mjones,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-51340871-5fea-466d-83c3-cefae1c44a1c,agt-1004,2026-05-24 23:59:00+00,2026-05-24 23:59:00+00,2026-05-24 23:59:00+00,LT-BWILLIAMS,bwilliams,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-d17b1bd3-f7fc-4413-8af3-5b6b4ed1d119,agt-1005,2026-05-24 23:59:00+00,2026-05-24 23:59:00+00,2026-05-24 23:59:00+00,LT-CDAVIS,cdavis,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-99685746-d3e5-43a5-b39e-a4a544003215,agt-1006,2026-05-24 23:59:00+00,2026-05-24 23:59:00+00,2026-05-24 23:59:00+00,LT-MSCOTT,mscott,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-1a4c0338-6023-471a-9708-61f477ee99f9,agt-1007,2026-05-24 23:59:00+00,2026-05-24 23:59:00+00,2026-05-24 23:59:00+00,LT-TJONES,tjones,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-ffe8ce7d-1dc0-4048-9553-9bdb17d604b8,agt-1008,2026-05-24 23:59:00+00,2026-05-24 23:59:00+00,2026-05-24 23:59:00+00,LT-RWILSON,rwilson,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-5c29637b-b16f-4083-aff6-cb4d84aa3dcd,agt-1009,2026-05-24 23:59:00+00,2026-05-24 23:59:00+00,2026-05-24 23:59:00+00,LT-ESNOW,esnow,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-c8746ba3-37c2-444a-b39d-09d42e4a4308,agt-1010,2026-05-24 23:59:00+00,2026-05-24 23:59:00+00,2026-05-24 23:59:00+00,LT-BADMIN,badmin,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-8b9cd9e6-66d2-4758-b7ca-dbb8a2963d01,agt-1001,2026-05-25 23:59:00+00,2026-05-25 23:59:00+00,2026-05-25 23:59:00+00,LT-JDOE,jdoe,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-abf9eddc-a7d9-4f6b-9b06-cbafb9e7519f,agt-1002,2026-05-25 23:59:00+00,2026-05-25 23:59:00+00,2026-05-25 23:59:00+00,LT-ASMITH,asmith,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-56af6393-33ff-413a-b43f-434ad270db7b,agt-1003,2026-05-25 23:59:00+00,2026-05-25 23:59:00+00,2026-05-25 23:59:00+00,LT-MJONES,mjones,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-1fa0a193-b149-4715-a664-aa16b0be1560,agt-1004,2026-05-25 23:59:00+00,2026-05-25 23:59:00+00,2026-05-25 23:59:00+00,LT-BWILLIAMS,bwilliams,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-3a58d9ce-ad2b-4fed-a504-f63ffc9d0f1b,agt-1005,2026-05-25 23:59:00+00,2026-05-25 23:59:00+00,2026-05-25 23:59:00+00,LT-CDAVIS,cdavis,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-138b79d8-9d89-4156-9cda-a6ce9e511d16,agt-1006,2026-05-25 23:59:00+00,2026-05-25 23:59:00+00,2026-05-25 23:59:00+00,LT-MSCOTT,mscott,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-8d147376-e9da-46b5-8db8-ddd0c0580b5f,agt-1007,2026-05-25 23:59:00+00,2026-05-25 23:59:00+00,2026-05-25 23:59:00+00,LT-TJONES,tjones,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-e6ed89ad-21a4-482f-880d-ed069c8824c5,agt-1008,2026-05-25 23:59:00+00,2026-05-25 23:59:00+00,2026-05-25 23:59:00+00,LT-RWILSON,rwilson,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-1a3ca2ec-a2db-44db-8a53-c56248f9b4e1,agt-1009,2026-05-25 23:59:00+00,2026-05-25 23:59:00+00,2026-05-25 23:59:00+00,LT-ESNOW,esnow,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-93da03f3-72ef-49e2-8775-04b79ab85991,agt-1010,2026-05-25 23:59:00+00,2026-05-25 23:59:00+00,2026-05-25 23:59:00+00,LT-BADMIN,badmin,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
